price;title;de_price;por_price;a_vista;desconto_a_vista;num_parcelas;valor_parcela;format_title;manufacturer;espaco_armazenamento;modelo;cor
 de R$ 1899,00   por R$ 1610,10 ’‘’_ vista (10% de desconto)      ou R$ 1789,00 em 10x de R$ 178,90 sem juros ;Smartphone Motorola G7 Plus 64GB Indigo 4G - 4GB RAM Tela 6,24Î_’_Îù C’‘Î¢m. Dupla + C’‘Î¢m. Selfie 12MP - Moto G7 Plus - Magazine Luiza;1899;1610,1;True;10% de desconto; 10x ;178,9;"G7 Plus 64GB Indigo 4G - 4GB RAM Tela 6,24"" C‰m. Dupla + C‰m. Selfie 12MP - Moto G7 Plus ";Motorola;64GB;Moto G7 Plus;Indigo
 de R$ 1899,00   por R$ 1367,91 ’‘’_ vista (10% de desconto)      ou R$ 1519,90 em 10x de R$ 151,99 sem juros ;Smartphone Motorola Moto G6 Plus 64GB Top’‘’Åzio - Dual Chip 4G C’‘Î¢m. 12MP e 5MP + Selfie 8MP Flash - Moto G6 Plus - Magazine Luiza;1899;1367,91;True;10% de desconto; 10x ;151,99;Moto G6 Plus 64GB Top’‘’Åzio - Dual Chip 4G C‰m. 12MP e 5MP + Selfie 8MP Flash - Moto G6 Plus ;Motorola;64GB;Moto G6 Plus;Topäzio
 de R$ 2299,00   por R$ 1889,91 ’‘’_ vista (10% de desconto)      ou R$ 2099,90 em 10x de R$ 209,99 sem juros ;Smartphone Motorola Moto Z3 Play 64GB ’‘Îçndigo - Dual Chip 4G C’‘Î¢m. 12MP e 5MP + Selfie 8MP Tela 6Î_’_Îù - Moto Z3 Play - Magazine Luiza;2299;1889,91;True;10% de desconto; 10x ;209,99;"Moto Z3 Play 64GB ëndigo - Dual Chip 4G C‰m. 12MP e 5MP + Selfie 8MP Tela 6"" - Moto Z3 Play ";Motorola;64GB;Moto Z3 Play;Indigo
 de R$ 2599,00   por R$ 1844,91 ’‘’_ vista (10% de desconto)      ou R$ 2049,90 em 10x de R$ 204,99 sem juros ;Smartphone Motorola Moto Z3 Play Stereo Speaker - 64GB ’‘Îçndigo Dual Chip 4G C’‘Î¢m 12MP e 5MP + Selfie - Moto Z3 Play - Magazine Luiza;2599;1844,91;True;10% de desconto; 10x ;204,99;Moto Z3 Play Stereo Speaker - 64GB ëndigo Dual Chip 4G C‰m 12MP e 5MP + Selfie - Moto Z3 Play ;Motorola;64GB;Moto Z3 Play Stereo Speaker;Indigo
 de R$ 2599,00   por R$ 1880,91 ’‘’_ vista (10% de desconto)      ou R$ 2089,90 em 10x de R$ 208,99 sem juros ;Smartphone Motorola Moto Z3 Play GamePad - 64GB ’‘Îçndigo Dual Chip 4G C’‘Î¢m 12MP e 5MP + Selfie - Moto Z3 Play - Magazine Luiza;2599;1880,91;True;10% de desconto; 10x ;208,99;Moto Z3 Play GamePad - 64GB ëndigo Dual Chip 4G C‰m 12MP e 5MP + Selfie - Moto Z3 Play ;Motorola;64GB;Moto Z3 Play GamePad;Indigo
 de R$ 2699,00   por R$ 1970,91 ’‘’_ vista (10% de desconto)      ou R$ 2189,90 em 10x de R$ 218,99 sem juros ;Smartphone Motorola Moto Z3 Play 128GB ’‘’–nix - Dual Chip 4G C’‘Î¢m. 12MP e 5MP + Selfie 8MP Flash - Moto Z3 Play - Magazine Luiza;2699;1970,91;True;10% de desconto; 10x ;218,99;Moto Z3 Play 128GB ïnix - Dual Chip 4G C‰m. 12MP e 5MP + Selfie 8MP Flash - Moto Z3 Play ;Motorola;128GB;Moto Z3 Play;•nix
 de R$ 2599,00   por R$ 1799,91 ’‘’_ vista (10% de desconto)      ou R$ 1999,90 em 10x de R$ 199,99 sem juros ;Smartphone Motorola Moto Z3 Play PowerPack  DTV - 64GB ’‘Îçndigo Dual Chip 4G C’‘Î¢m 12MP e 5MP + Selfie - Moto Z3 Play - Magazine Luiza;2599;1799,91;True;10% de desconto; 10x ;199,99;Moto Z3 Play PowerPackDTV - 64GB ëndigo Dual Chip 4G C‰m 12MP e 5MP + Selfie - Moto Z3 Play ;Motorola;64GB;Moto Z3 Play PowerPack  DTV;Indigo
 de R$ 2399,00   por R$ 1789,00      em 3x de R$ 596,33 sem juros ;Smartphone Motorola Moto Z3 Play 64GB XT1929 Desbloqueado - Moto Z3 Play - Magazine Luiza;2399;1789;False;; 3x ;596,33;Moto Z3 Play 64GB XT1929- Moto Z3 Play ;Motorola;64GB;Moto Z3 Play;Preto
   por R$ 3019,20      em 10x de R$ 301,92 sem juros ;Smartphone Motorola Moto Z3 Play 64GB Indigo - Moto Z3 Play - Magazine Luiza;   ;3019,2;False;; 10x ;301,92;Moto Z3 Play 64GB Indigo - Moto Z3 Play ;Motorola;64GB;Moto Z3 Play;Indigo
 de R$ 2999,90   por R$ 2424,90      em 10x de R$ 242,49 sem juros ;Smartphone Motorola Moto Z3 Play 64GB Dual 6 5MP - ’‘Îçndigo - Moto Z3 Play - Magazine Luiza;2999,9;2424,9;False;; 10x ;242,49;Moto Z3 Play 64GB Dual 6 5MP - ëndigo - Moto Z3 Play ;Motorola;64GB;Moto Z3 Play;Indigo
 de R$ 2265,89   por R$ 2059,90      em 10x de R$ 205,99 sem juros ;Smartphone Motorola Moto Z3 Play, Indigo, XT1929, Tela de 6Î_’_Îù, 64GB, 12MP - Moto Z3 Play - Magazine Luiza;2265,89;2059,9;False;; 10x ;205,99;"Moto Z3 Play, Indigo, XT1929, Tela de 6"", 64GB, 12MP - Moto Z3 Play ";Motorola;64GB;Moto Z3 Play;Indigo
   por R$ 1799,99      em 3x de R$ 600,00 sem juros ;Smartphone Motorola Moto Z3 Play Dual Chip Android Oreo - 8.0 Tela 6 Octa-Core 1.8 GHz 64GB 4G C’‘Î¢me - Moto Z3 Play - Magazine Luiza;   ;1799,99;False;; 3x ;600;Moto Z3 Play Dual Chip Android Oreo - 8.0 Tela 6 Octa-Core 1.8 GHz 64GB 4G C‰me - Moto Z3 Play ;Motorola;64GB;Moto Z3 Play;•nix
 de R$ 1819,53   por R$ 1799,00      em 10x de R$ 179,90 sem juros ;Smartphone Motorola Moto Z3 Play, Dual Chip, ’‘Îçndigo, Tela 6.1Î_’_Îù, 4G+WiFi +NFC, Android 8.1, C’‘Î¢mera Traseira Dupla, 64GB - Moto Z3 Play - Magazine Luiza;1819,53;1799;False;; 10x ;179,9;"Moto Z3 Play, Dual Chip, ëndigo, Tela 6.1"", 4G+WiFi +NFC, Android 8.1, C‰mera Traseira Dupla, 64GB - Moto Z3 Play ";Motorola;64GB;Moto Z3 Play;Indigo
 de R$ 2699,00   por R$ 2150,91 ’‘’_ vista (10% de desconto)      ou R$ 2389,90 em 10x de R$ 238,99 sem juros ;Smartphone Motorola Moto Z2 Play 360 C’‘Î¢mera - Edition 64GB Azul Top’‘’Åzio Dual Chip C’‘Î¢m. 12MP - Motorola - Magazine Luiza;2699;2150,91;True;10% de desconto; 10x ;238,99;Moto Z2 Play 360 C‰mera - Edition 64GB Azul Top’‘’Åzio Dual Chip C‰m. 12MP -;Motorola;64GB;Moto Z2 Play;Topäzio
